model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME N5,9.98.2,n5_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n5_kr_9_982.bin,2016-12-14 06:26:18+00:00,2080768,4018aed5adeac39cbcc11d36f77bb6f9aa69ed9e,e9b4d101f19f8cd03980efb0bb3a76fe
ipTIME N3,9.98.2,n3_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n3_kr_9_982.bin,2016-12-14 06:26:03+00:00,2080768,fbe59539c24a4abdd562ac7af3152961a58bb092,56e10f8ef929440983098e4233d4e93c
ipTIME N2plus,9.98.2,n2p_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n2p_kr_9_982.bin,2016-12-14 06:25:58+00:00,2080768,5c4e8d2d5a28b9613a86738dcb9174e2205daae2,8fd3af5a72f9440bd44ffbcfd631eaed
ipTIME N2Eplus,9.98.2,n2e_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n2e_kr_9_982.bin,2016-12-14 06:25:58+00:00,2080768,724f547e56a60e67fa5bb4c205bd7ec5ff215ea8,7535baeb99176ffc1b81681c9157c794
ipTIME N2E,9.98.2,n2e_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n2e_kr_9_982.bin,2016-12-14 06:25:58+00:00,2080768,724f547e56a60e67fa5bb4c205bd7ec5ff215ea8,7535baeb99176ffc1b81681c9157c794
ipTIME N1plus,9.98.2,n1p_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n1p_kr_9_982.bin,2016-12-14 06:25:57+00:00,2076672,158fbcdb0ec3f19307f0f5bcd455415dc6f9c5e4,07b778728bf339a32c88a97a2495528b
ipTIME N1E,9.98.2,n1e_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n1e_kr_9_982.bin,2016-12-14 06:25:57+00:00,2080768,b355d051ed4b0d40f2f26a9e4b268ec2d84bcc14,4c9b7a7783caf08a5613333ce0a9ee6b
ipTIME N104V,9.98.2,n104v_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104v_kr_9_982.bin,2016-12-14 06:25:57+00:00,2088960,d2c2925a8241230b4cb81ee16cda4150a875ddc7,36be15993e765e6af4c6bed9107d7afd
ipTIME N104R,9.98.2,n104r_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104r_kr_9_982.bin,2016-12-14 06:25:56+00:00,2080768,fbf33b30322377464730d1677c725ea98071acd4,d37d6ff68ec8ecaf669e26c467027c40
ipTIME N104Q,9.98.2,n104q_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104q_kr_9_982.bin,2016-12-14 06:25:55+00:00,2080768,2660c728c5b505e6545053386ddd9626e1b71d3d,051038ec8f2af2105d3ceaa1c34ea5fd
ipTIME N104plus,9.98.2,n104p_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104p_kr_9_982.bin,2016-12-14 06:25:55+00:00,2080768,54688f20cfacb35e0245be0af8ae35e96b4ecdce,629faca59fc44594a695b92e3e9a5ef4
ipTIME N104K,9.98.2,n104k_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104k_kr_9_982.bin,2016-12-14 06:25:54+00:00,2076672,aecc5b50878d9d8a914b8cd49e6ecf607ae08dad,3d02b1a1bebcc8d9ef18a576661d19b3
ipTIME N6,9.98.2,n6_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n6_kr_9_982.bin,2016-12-14 06:26:21+00:00,2859008,f751834f461d206e30757f7eb64a75eabef9dcd1,1c7640ed7ac0289aeddf04866197f0a0
ipTIME mini3,9.98.2,mini3_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/mini3_kr_9_982.bin,2016-12-14 06:26:00+00:00,2871296,2a6f7918297cda312ee98703b890e4e2b719ed93,786937c2c4a88f56e77a5aae8aca1579
