model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
AirCard 308U (TNZ),,M2_0_11_14BT-M2_0_11_15AP.exe,http://www.downloads.netgear.com/files/aircard/M2_0_11_14BT-M2_0_11_15AP.exe,2013-03-25 18:48:34+00:00,9216232,9d9b8bad79931c77e569486124f2b063c16cb27d,449968ea097ea7f7015439b277f74221
AirCard 310U (all others),,M3_0_9_0BT-M3_0_9_0AP.exe,http://www.downloads.netgear.com/files/aircard/M3_0_9_0BT-M3_0_9_0AP.exe,2013-03-25 18:49:06+00:00,9039464,47acdcc863e1c438c6f4070743ed2b8f33ad1f7b,214450bee90f8fc8f445c589daa040f7
AirCard 308U (Rogers),,M2_0_11_16BT-M2_0_11_17BAP.exe,http://www.downloads.netgear.com/files/aircard/M2_0_11_16BT-M2_0_11_17BAP.exe,2013-03-25 18:48:43+00:00,8994272,d636fb88d4586a34afbd4a58d8fa255b1331dd30,42778d4842ca87a4692411bdd80bc850
AirCard 308U (Telstra),3.0.9.0,M3.0.9.0ap.zip,http://www.downloads.netgear.com/files/aircard/M3.0.9.0ap.zip,2013-05-06 02:34:12+00:00,9585923,2f16acbdf9c4f7da5397f22b5ae91848868d09f4,4ace46fc790952eabc040a03a525e6a8
AirCard 309U (DNA),,M3_0_9_0BT-M3_0_9_0BAP.exe,http://www.downloads.netgear.com/files/aircard/M3_0_9_0BT-M3_0_9_0BAP.exe,2013-03-25 18:49:10+00:00,8801368,dbf0c99629a74a906837b32080a2d9834101aaab,64b723a13b77507c22c43ccad5f5534f
AirCard 310U (Optus),,M2_0_11_16bt-M2_0_11_17ap.exe,http://www.downloads.netgear.com/files/aircard/M2_0_11_16bt-M2_0_11_17ap.exe,2013-03-25 18:48:38+00:00,8998384,2a9b94f530d84aa36a7764016af85f040dfecd1a,e350f906fc705a0b248f922e8f43c9de
AirCard 312U (all others),,N2_0_4_1bt-N2_0_4_1ap.exe,http://www.downloads.netgear.com/files/aircard/N2_0_4_1bt-N2_0_4_1ap.exe,2013-03-25 18:49:11+00:00,12780776,f97b802cf203588bd37e5b2ced0081da7abbdb96,e8c0b5b7684309b8bff6e9ef76d2d4a2
AirCard 802S (Sprint),01.07.09,AC802S_1453010_01.07.09_041.field.zip,http://www.downloads.netgear.com/files/aircard/AC802S_1453010_01.07.09_041.field.zip,2013-07-30 19:34:58+00:00,40983891,938183bbdf8533fe7c734437a1ace630b0a3f860,f9dc6ebdb5e01576733ce1ff8cd9522e
AirCard 313U (Rogers),01.00.01.01,Mac_Firmware_Update_SWI9200X_01.00.01.01.zip,http://www.downloads.netgear.com/files/aircard/Mac_Firmware_Update_SWI9200X_01.00.01.01.zip,2013-04-02 13:22:15+00:00,15054445,cd92048636d17201a95ee467b10c40b7ac47462a,863cedb7db71217b2ba571cecdd01611
AirCard 312U (Telstra),,TelstraAC312U-N2_0_8_6bt-N2_0_8_6ap.exe,http://www.downloads.netgear.com/files/aircard/TelstraAC312U-N2_0_8_6bt-N2_0_8_6ap.exe,2013-03-25 18:50:04+00:00,14468961,d3e4fea9c37ff0468e4aaca4fc3c082ddd102df4,dc9c41ebf813eae5325ca4985134f31d
AirCard 319U (Telus),2.0.8.1,TelusAC319U-N2_0_8_1Cap.exe,http://www.downloads.netgear.com/files/aircard/TelusAC319U-N2_0_8_1Cap.exe,2013-03-25 18:50:10+00:00,13176432,08b3a4c5de086211efca35e7324811bcf16341f2,ef54fda8f184eae55f3b592d7d9bb7f4
AirCard 319U (Telus),2.0.8.1,AC319U_telus_FW_Mac_N2.0.8.1C.zip,http://www.downloads.netgear.com/files/aircard/AC319U_telus_FW_Mac_N2.0.8.1C.zip,2013-03-25 18:45:23+00:00,13037010,6e0279a690f3d6eed8f49a4e58231b6afd2ff324,3e210b72fb5bcfd086f886484491b115
